book_title;book_author;book_publishing;book_new_price;book_old_price;book_discount;book_status 
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов;Нобак Маттиас;Нет издательства;1285;1835;30;На складе
Генетические алгоритмы на Python;Вирсански Эйял;Нет издательства;1497;2138;30;На складе
Kotlin. Программирование на примерах;Аделекан Ияну;Нет издательства;953;1361;30;На складе
Взлом. Приемы, трюки и секреты хакеров;Комиссаров Иван aLLy;BHV : Библиотека журнала «Хакер»;519;741;30;На складе
HTML и CSS. 25 уроков для начинающих;Дронов Владимир Александрович;BHV : Для Начинающих;745;1064;30;На складе
Алгоритмы и программы. Язык С++. Учебное пособие;Конова Елена Александровна;Лань : Учебники для вузов. Специальная литература;1117;1595;30;На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань : Учебники для вузов. Специальная литература;835;1193;30;Ограничено
Обработка естественного языка в действии;Хобсон Лейн;Питер : Для профессионалов;2309;2960;22;На складе
Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go;Цукалос Михалис;Питер : Для профессионалов;3503;4491;22;На складе
Программируем с PyTorch. Создание приложений глубокого обучения;Пойтнер Ян;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе
Эффективный TypeScript. 62 способа улучшить код;Вандеркам Дэн;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе
Istio. Приступаем к работе;Калькот Ли;Нет издательства;1428;2040;30;На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям;Граймс Роджер А.;Нет издательства;1285;1835;30;На складе
Проектирование веб-API;Лоре Арно;Нет издательства;1428;2040;30;На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше;Сабиров Василий Константинович;Бомбора : Российский компьютерный бестселлер;1026;1316;22;На складе
Мобильные роботы на базе ESP32 в среде Arduino IDE;Момот Михаил Викторович;BHV : Электроника;592;845;30;На складе
Программирование на VBA в Excel 2019. Самоучитель;Комолова Нина Владимировна;BHV : Самоучитель;663;947;30;На складе
Програмирование микроконтроллеров AVR. От Arduino к ассемблеру;Ревич Юрий Всеволодович;BHV : Электроника;713;1019;30;На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту;Крон Джон;Питер : Библиотека программиста;1345;1724;22;На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии;Лапань Максим;Питер : Для профессионалов;2132;2733;22;На складе
Чистый Agile. Основы гибкости;Мартин Роберт С.;Питер : Библиотека программиста;1357;1740;22;На складе
Spring Boot 2. Лучшие практики для профессионалов;Гутьеррес Фелипе;Питер : Библиотека программиста;2154;2762;22;На складе
Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел Пол Дж.;Питер : Для профессионалов;2715;3481;22;На складе
Эволюционные нейросети на языке Python;Омельяненко Ярослав;Нет издательства;1428;2040;30;На складе
Алгоритмы обучения с подкреплением на Python;Лонца Андреа;Нет издательства;1428;2040;30;На складе
Цифровой синтез. Практический курс;Романов А. Ю.;Нет издательства;1945;2779;30;На складе
Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;Лань : Учебники для вузов. Специальная литература;1014;1448;30;На складе
Криптография и взлом шифров на Python;Свейгарт Эл;Нет издательства;1814;2592;30;На складе
Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного;Харрисон Мэтт;Нет издательства;969;1384;30;На складе
Параллельное программирование на C++ с помощью библиотеки TBB;Восс Майкл;Нет издательства;2141;3059;30;На складе
Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;Нет издательства;1428;2040;30;На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей;Фостер Дэвид;Питер : Бестселлеры O`Reilly;1800;2308;22;На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари Альберто;Нет издательства;1428;2040;30;На складе
Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;Нет издательства;1796;2565;30;На складе
Программирование на Python. Базовый курс;Седжвик Роберт;Нет издательства;1814;2592;30;На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис Шон;Нет издательства;1428;2040;30;На складе
Паттерны объектно-ориентированного проектирования;Гамма Э.;Питер : Библиотека программиста;818;1049;22;На складе
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1;Фриск Валерий Владимирович;Солон-пресс : Библиотека студента;898;1283;30;На складе
Управление памятью в .NET для профессионалов;Кокоса Конрад;Нет издательства;2713;3876;30;На складе
Terraform. Инфраструктура на уровне кода;Брикман Евгений;Питер : Бестселлеры O`Reilly;1530;1961;22;На складе
Языки программирования и методы трансляции. Учебное пособие;Свердлов Сергей Залманович;Лань : Учебники для вузов. Специальная литература;2997;4281;30;На складе
Исследование операций и методы оптимизации. Учебное пособие;Болотский Александр Владимирович;Лань : Учебники для вузов. Специальная литература;472;674;30;На складе
Грокаем технологию Биткоин;Розенбаум Калле;Питер : IT для бизнеса;2683;3440;22;На складе
Веб-компоненты в действии;Фаррелл Бен;Нет издательства;1428;2040;30;На складе
Машинное обучение на R: экспертные техники для прогностического анализа;Ланц Бретт;Питер : Библиотека программиста;2303;2953;22;На складе
Head First. Изучаем Go;Макгаврен Джей;Питер : Head First (O'Reilly);2443;3132;22;На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие;Белугина Светлана Викторовна;Лань : Учебники для вузов. Специальная литература;974;1392;30;На складе
Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.;Белугина Светлана Викторовна;Лань : Учебники для вузов. Специальная литература;1392;1988;30;Ограничено
Основы программирования информационного контента. Учебное пособие;Быкадорова Елена Анатольевна;Лань : Учебники для вузов. Специальная литература;594;849;30;На складе
Численные методы. Учебник;Слабнов Виктор Дмитриевич;Лань : Учебники для вузов. Специальная литература;2504;3577;30;На складе
C++ для инженерных и научных расчетов;Готтшинг Питер;Нет издательства;2001;2858;30;Ограничено
Введение в глубокое обучение;Черняк Евгений;Нет издательства;969;1384;30;На складе
Язык C. Самое необходимое;Прохоренок Николай Анатольевич;BHV : Самое необходимое;692;988;30;На складе
Машинное обучение без лишних слов;Бурков Андрей;Питер : Библиотека программиста;1101;1412;22;На складе
Легкий способ выучить Python 3 еще глубже;Шоу Зед А.;Эксмо-Пресс : Мировой компьютерный бестселлер (обложка);707;906;22;На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие;Бастрон Алевтина Алексеевна;Нет издательства;437;624;30;На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ;Ефимова Елена Анатольевна;Нет издательства;687;982;30;На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик;Логачев Максим Сергеевич;ИНФРА-М : Среднее профессиональное образование;3557;5081;30;На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование;Рафгарден Тим;Питер : Библиотека программиста;1196;1533;22;На складе
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений;Ибрам Билджин;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов;Нобак Маттиас;Нет издательства;1285;1835;30;На складе;Генетические алгоритмы на Python;Вирсански Эйял;Нет издательства;1497;2138;30;На складе;Kotlin. Программирование на примерах;Аделекан Ияну;Нет издательства;953;1361;30;На складе;Взлом. Приемы, трюки и секреты хакеров;Комиссаров Иван aLLy;BHV : Библиотека журнала «Хакер»;519;741;30;На складе;HTML и CSS. 25 уроков для начинающих;Дронов Владимир Александрович;BHV : Для Начинающих;745;1064;30;На складе;Алгоритмы и программы. Язык С++. Учебное пособие;Конова Елена Александровна;Лань : Учебники для вузов. Специальная литература;1117;1595;30;На складе;Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Лань : Учебники для вузов. Специальная литература;835;1193;30;Ограничено;Обработка естественного языка в действии;Хобсон Лейн;Питер : Для профессионалов;2309;2960;22;На складе;Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go;Цукалос Михалис;Питер : Для профессионалов;3503;4491;22;На складе;Программируем с PyTorch. Создание приложений глубокого обучения;Пойтнер Ян;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе;Эффективный TypeScript. 62 способа улучшить код;Вандеркам Дэн;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе;Istio. Приступаем к работе;Калькот Ли;Нет издательства;1428;2040;30;На складе;Апокалипсис криптографии. Подготовка к криптовалютным вычислениям;Граймс Роджер А.;Нет издательства;1285;1835;30;На складе;Проектирование веб-API;Лоре Арно;Нет издательства;1428;2040;30;На складе;Игра в цифры. Как аналитика позволяет видеоиграм жить лучше;Сабиров Василий Константинович;Бомбора : Российский компьютерный бестселлер;1026;1316;22;На складе;Мобильные роботы на базе ESP32 в среде Arduino IDE;Момот Михаил Викторович;BHV : Электроника;592;845;30;На складе;Программирование на VBA в Excel 2019. Самоучитель;Комолова Нина Владимировна;BHV : Самоучитель;663;947;30;На складе;Програмирование микроконтроллеров AVR. От Arduino к ассемблеру;Ревич Юрий Всеволодович;BHV : Электроника;713;1019;30;На складе;Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту;Крон Джон;Питер : Библиотека программиста;1345;1724;22;На складе;Глубокое обучение с подкреплением. AlphaGo и другие технологии;Лапань Максим;Питер : Для профессионалов;2132;2733;22;На складе;Чистый Agile. Основы гибкости;Мартин Роберт С.;Питер : Библиотека программиста;1357;1740;22;На складе;Spring Boot 2. Лучшие практики для профессионалов;Гутьеррес Фелипе;Питер : Библиотека программиста;2154;2762;22;На складе;Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел Пол Дж.;Питер : Для профессионалов;2715;3481;22;На складе;Эволюционные нейросети на языке Python;Омельяненко Ярослав;Нет издательства;1428;2040;30;На складе;Алгоритмы обучения с подкреплением на Python;Лонца Андреа;Нет издательства;1428;2040;30;На складе;Цифровой синтез. Практический курс;Романов А. Ю.;Нет издательства;1945;2779;30;На складе;Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;Лань : Учебники для вузов. Специальная литература;1014;1448;30;На складе;Криптография и взлом шифров на Python;Свейгарт Эл;Нет издательства;1814;2592;30;На складе;Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного;Харрисон Мэтт;Нет издательства;969;1384;30;На складе;Параллельное программирование на C++ с помощью библиотеки TBB;Восс Майкл;Нет издательства;2141;3059;30;На складе;Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;Нет издательства;1428;2040;30;На складе;Генеративное глубокое обучение. Творческий потенциал нейронных сетей;Фостер Дэвид;Питер : Бестселлеры O`Reilly;1800;2308;22;На складе;Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари Альберто;Нет издательства;1428;2040;30;На складе;Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;Нет издательства;1796;2565;30;На складе;Программирование на Python. Базовый курс;Седжвик Роберт;Нет издательства;1814;2592;30;На складе;Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис Шон;Нет издательства;1428;2040;30;На складе;Паттерны объектно-ориентированного проектирования;Гамма Э.;Питер : Библиотека программиста;818;1049;22;На складе;Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1;Фриск Валерий Владимирович;Солон-пресс : Библиотека студента;898;1283;30;На складе;Управление памятью в .NET для профессионалов;Кокоса Конрад;Нет издательства;2713;3876;30;На складе;Terraform. Инфраструктура на уровне кода;Брикман Евгений;Питер : Бестселлеры O`Reilly;1530;1961;22;На складе;Языки программирования и методы трансляции. Учебное пособие;Свердлов Сергей Залманович;Лань : Учебники для вузов. Специальная литература;2997;4281;30;На складе;Исследование операций и методы оптимизации. Учебное пособие;Болотский Александр Владимирович;Лань : Учебники для вузов. Специальная литература;472;674;30;На складе;Грокаем технологию Биткоин;Розенбаум Калле;Питер : IT для бизнеса;2683;3440;22;На складе;Веб-компоненты в действии;Фаррелл Бен;Нет издательства;1428;2040;30;На складе;Машинное обучение на R: экспертные техники для прогностического анализа;Ланц Бретт;Питер : Библиотека программиста;2303;2953;22;На складе;Head First. Изучаем Go;Макгаврен Джей;Питер : Head First (O'Reilly);2443;3132;22;На складе;Архитектура компьютерных систем. Курс лекций. Учебное пособие;Белугина Светлана Викторовна;Лань : Учебники для вузов. Специальная литература;974;1392;30;На складе;Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.;Белугина Светлана Викторовна;Лань : Учебники для вузов. Специальная литература;1392;1988;30;Ограничено;Основы программирования информационного контента. Учебное пособие;Быкадорова Елена Анатольевна;Лань : Учебники для вузов. Специальная литература;594;849;30;На складе;Численные методы. Учебник;Слабнов Виктор Дмитриевич;Лань : Учебники для вузов. Специальная литература;2504;3577;30;На складе;C++ для инженерных и научных расчетов;Готтшинг Питер;Нет издательства;2001;2858;30;Ограничено;Введение в глубокое обучение;Черняк Евгений;Нет издательства;969;1384;30;На складе;Язык C. Самое необходимое;Прохоренок Николай Анатольевич;BHV : Самое необходимое;692;988;30;На складе;Машинное обучение без лишних слов;Бурков Андрей;Питер : Библиотека программиста;1101;1412;22;На складе;Легкий способ выучить Python 3 еще глубже;Шоу Зед А.;Эксмо-Пресс : Мировой компьютерный бестселлер (обложка);707;906;22;На складе;Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие;Бастрон Алевтина Алексеевна;Нет издательства;437;624;30;На складе;Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ;Ефимова Елена Анатольевна;Нет издательства;687;982;30;На складе;Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик;Логачев Максим Сергеевич;ИНФРА-М : Среднее профессиональное образование;3557;5081;30;На складе;Совершенный алгоритм. Жадные алгоритмы и динамическое программирование;Рафгарден Тим;Питер : Библиотека программиста;1196;1533;22;На складе;Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений;Ибрам Билджин;Питер : Бестселлеры O`Reilly;1357;1740;22;На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе;Заметти Франк;Нет издательства;1285;1835;30;На складе
Обучение с подкреплением;Саттон Ричард С.;Нет издательства;2713;3876;30;На складе
Рекомендательные системы на практике;Фальк Ким;Нет издательства;1428;2040;30;На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум;Янсен Стефан;Нет издательства;1271;1815;30;На складе
Java Concurrency на практике;Гетц Брайан;Питер : Для профессионалов;1345;1724;22;На складе
Kubernetes для DevOps: развертывание, запуск и масштабирование в облаке;Арундел Джон;Питер : Бестселлеры O`Reilly;1902;2438;22;На складе
C# 8.0. Карманный справочник;Албахари Джозеф;Нет издательства;969;1384;30;На складе
Введение в информационный поиск;Маннинг Кристофер Д.;Нет издательства;3630;5186;30;На складе
Нейронные сети и глубокое обучение. Учебный курс;Аггарвал Чару;Нет издательства;3025;4322;30;На складе
Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство;Дейли Брэд;Нет издательства;2419;3456;30;На складе
Разработка игр на Unity 2018 за 24 часа;Гейг Майк;Бомбора : Мировой компьютерный бестселлер;1314;1685;22;На складе
R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;Лонг Дж. Д.;Нет издательства;2284;3263;30;На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;Нидхем Марк;Нет издательства;1428;2040;30;На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун;Чукич Иван;Нет издательства;1428;2040;30;На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие;Пащенко Федор Федорович;Лань : Учебники для вузов. Специальная литература;1530;2186;30;На складе
Python. Непрерывная интеграция и доставка;Ленц Мориц;Нет издательства;789;1127;30;На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл;Тоуманнен Бриан;Нет издательства;1285;1835;30;На складе
Объектно-ориентированный подход;Вайсфельд Мэтт;Питер : Библиотека программиста;1019;1307;22;На складе
Разработка с использованием квантовых компьютеров;Силва Владимир;Питер : Библиотека программиста;1630;2090;22;На складе
C++. Практика многопоточного программирования;Уильямс Энтони;Питер : Для профессионалов;1950;2500;22;На складе
Изучаем Python. Программирование игр, визуализация данных, веб-приложения;Мэтиз Эрик;Питер : Библиотека программиста;1304;1672;22;На складе
Laravel. Полное руководство;Стаффер Мэтт;Питер : Бестселлеры O`Reilly;1685;2160;22;На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования;Хорстманн Кей С.;Нет издательства;3025;4322;30;На складе
Изучаем Python. Том 2;Лутц Марк;Нет издательства;3025;4322;30;На складе
Программирование логических контроллеров. Учебное пособие;Иванов Виктор Никитович;Солон-пресс : Библиотека студента;977;1395;30;На складе
Волшебство Kotlin;Симон Пьер-Ив;Нет издательства;1713;2447;30;На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие;Карпов Дмитрий Анатольевич;Солон-пресс : Библиотека профессионала;510;729;30;На складе
Обработка естественного языка с TensorFlow;Ганегедара Тушан;Нет издательства;1796;2565;30;На складе
Информационные системы и программирование. Администратор баз данных. Учебник;Логачев Максим Сергеевич;ИНФРА-М : Среднее профессиональное образование;2722;3888;30;На складе
Программное обеспечение компьютерных сетей. Учебное пособие;Исаченко Олег Вячеславович;ИНФРА-М : Среднее профессиональное образование;1089;1556;30;На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики;Гартман Томаш Николаевич;Лань : Учебники для вузов. Специальная литература;2720;3885;30;На складе
Клиентские технологии веб-программирования: JavaScript и DOM;Диков Андрей Валентинович;Лань : Учебники для вузов. Специальная литература;1127;1610;30;На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения;Будума Нихиль;Нет издательства;1452;1862;22;На складе
Алгоритмы. Вводный курс;Кормен Томас;Нет издательства;802;1145;30;На складе
DevOps для современного предприятия;Херинг Мирко;Нет издательства;999;1427;30;На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений;Пошевай Майа;Нет издательства;1428;2040;30;На складе
ELIXIR в действии;Юрич Саша;Нет издательства;1796;2565;30;На складе
Глубокое обучение для поисковых систем;Теофили Томмазо;Нет издательства;1497;2138;30;На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М : Высшее образование. Бакалавриат;2359;3370;30;На складе
Байесовский анализ на Python;Мартин Освальдо;Нет издательства;1285;1835;30;На складе
Состязательные сети. Проекты;Ахирвар Кайлаш;Нет издательства;1285;1835;30;На складе
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов;Микелуччи Умберто;Нет издательства;745;1064;30;На складе
JavaFX;Прохоренок Николай Анатольевич;BHV : В подлиннике;1165;1664;30;На складе
Основы программирования на языке С. Учебное пособие;Дорогов Виктор Георгиевич;Форум : Среднее профессиональное образование;1397;1996;30;На складе
Программирование на языке Си. Учебное пособие;Кузин Александр Владимирович;Форум : Среднее профессиональное образование;1161;1659;30;На складе
Разработка мобильных приложений на C# для iOS и Android;Черников Вячеслав;Нет издательства;1142;1631;30;На складе
JavaScript для профессионалов;Резиг Джон;Нет издательства;1210;1728;30;На складе
C. Полное руководство. Классическое издание;Шилдт Герберт;Нет издательства;2419;3456;30;Ограничено
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки;Де Йонге Дерек;Нет издательства;856;1223;30;На складе
Как стать хакером;Притяну Эдриан;Нет издательства;1285;1835;30;На складе
Шаблоны проектирования для облачной среды;Дэвис Корнелия;Нет издательства;1428;2040;30;На складе
SQL для чайников;Тейлор Аллен Дж.;"Диалектика : Для ""чайников""";1453;2075;30;На складе
Введение в архитектуру программного обеспечения. Учебное пособие;Гагарина Лариса Геннадьевна;Форум : Среднее профессиональное образование;1978;2826;30;На складе
Библия C#;Фленов Михаил Евгеньевич;Нет издательства;674;963;30;На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей;Форд Мартин;Питер : Библиотека программиста;988;1267;22;На складе
Глубокое обучение и игра в го;Памперла Макс;Нет издательства;1856;2651;30;На складе
Разработка игр на Unreal Engine 4 за 24 часа;Куксон Арам;Бомбора : Мировой компьютерный бестселлер;1643;2107;22;На складе
Изучаем C#;Грин Дженнифер;Питер : Head First (O'Reilly);1773;2273;22;На складе
Квантовые вычисления для настоящих айтишников;Бернхард Крис;Питер : Библиотека программиста;963;1235;22;На складе
Знакомство с PyTorch: глубокое обучение при обработке естественного языка;Макмахан Брайан;Питер : Бестселлеры O`Reilly;1083;1389;22;На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе;Заметти Франк;Нет издательства;1285;1835;30;На складе;Обучение с подкреплением;Саттон Ричард С.;Нет издательства;2713;3876;30;На складе;Рекомендательные системы на практике;Фальк Ким;Нет издательства;1428;2040;30;На складе;Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум;Янсен Стефан;Нет издательства;1271;1815;30;На складе;Java Concurrency на практике;Гетц Брайан;Питер : Для профессионалов;1345;1724;22;На складе;Kubernetes для DevOps: развертывание, запуск и масштабирование в облаке;Арундел Джон;Питер : Бестселлеры O`Reilly;1902;2438;22;На складе;C# 8.0. Карманный справочник;Албахари Джозеф;Нет издательства;969;1384;30;На складе;Введение в информационный поиск;Маннинг Кристофер Д.;Нет издательства;3630;5186;30;На складе;Нейронные сети и глубокое обучение. Учебный курс;Аггарвал Чару;Нет издательства;3025;4322;30;На складе;Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство;Дейли Брэд;Нет издательства;2419;3456;30;На складе;Разработка игр на Unity 2018 за 24 часа;Гейг Майк;Бомбора : Мировой компьютерный бестселлер;1314;1685;22;На складе;R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;Лонг Дж. Д.;Нет издательства;2284;3263;30;На складе;Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;Нидхем Марк;Нет издательства;1428;2040;30;На складе;Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун;Чукич Иван;Нет издательства;1428;2040;30;На складе;Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие;Пащенко Федор Федорович;Лань : Учебники для вузов. Специальная литература;1530;2186;30;На складе;Python. Непрерывная интеграция и доставка;Ленц Мориц;Нет издательства;789;1127;30;На складе;Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл;Тоуманнен Бриан;Нет издательства;1285;1835;30;На складе;Объектно-ориентированный подход;Вайсфельд Мэтт;Питер : Библиотека программиста;1019;1307;22;На складе;Разработка с использованием квантовых компьютеров;Силва Владимир;Питер : Библиотека программиста;1630;2090;22;На складе;C++. Практика многопоточного программирования;Уильямс Энтони;Питер : Для профессионалов;1950;2500;22;На складе;Изучаем Python. Программирование игр, визуализация данных, веб-приложения;Мэтиз Эрик;Питер : Библиотека программиста;1304;1672;22;На складе;Laravel. Полное руководство;Стаффер Мэтт;Питер : Бестселлеры O`Reilly;1685;2160;22;На складе;Java. Библиотека профессионала. Том 2. Расширенные средства программирования;Хорстманн Кей С.;Нет издательства;3025;4322;30;На складе;Изучаем Python. Том 2;Лутц Марк;Нет издательства;3025;4322;30;На складе;Программирование логических контроллеров. Учебное пособие;Иванов Виктор Никитович;Солон-пресс : Библиотека студента;977;1395;30;На складе;Волшебство Kotlin;Симон Пьер-Ив;Нет издательства;1713;2447;30;На складе;Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие;Карпов Дмитрий Анатольевич;Солон-пресс : Библиотека профессионала;510;729;30;На складе;Обработка естественного языка с TensorFlow;Ганегедара Тушан;Нет издательства;1796;2565;30;На складе;Информационные системы и программирование. Администратор баз данных. Учебник;Логачев Максим Сергеевич;ИНФРА-М : Среднее профессиональное образование;2722;3888;30;На складе;Программное обеспечение компьютерных сетей. Учебное пособие;Исаченко Олег Вячеславович;ИНФРА-М : Среднее профессиональное образование;1089;1556;30;На складе;Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики;Гартман Томаш Николаевич;Лань : Учебники для вузов. Специальная литература;2720;3885;30;На складе;Клиентские технологии веб-программирования: JavaScript и DOM;Диков Андрей Валентинович;Лань : Учебники для вузов. Специальная литература;1127;1610;30;На складе;Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения;Будума Нихиль;Нет издательства;1452;1862;22;На складе;Алгоритмы. Вводный курс;Кормен Томас;Нет издательства;802;1145;30;На складе;DevOps для современного предприятия;Херинг Мирко;Нет издательства;999;1427;30;На складе;Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений;Пошевай Майа;Нет издательства;1428;2040;30;На складе;ELIXIR в действии;Юрич Саша;Нет издательства;1796;2565;30;На складе;Глубокое обучение для поисковых систем;Теофили Томмазо;Нет издательства;1497;2138;30;На складе;Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М : Высшее образование. Бакалавриат;2359;3370;30;На складе;Байесовский анализ на Python;Мартин Освальдо;Нет издательства;1285;1835;30;На складе;Состязательные сети. Проекты;Ахирвар Кайлаш;Нет издательства;1285;1835;30;На складе;Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов;Микелуччи Умберто;Нет издательства;745;1064;30;На складе;JavaFX;Прохоренок Николай Анатольевич;BHV : В подлиннике;1165;1664;30;На складе;Основы программирования на языке С. Учебное пособие;Дорогов Виктор Георгиевич;Форум : Среднее профессиональное образование;1397;1996;30;На складе;Программирование на языке Си. Учебное пособие;Кузин Александр Владимирович;Форум : Среднее профессиональное образование;1161;1659;30;На складе;Разработка мобильных приложений на C# для iOS и Android;Черников Вячеслав;Нет издательства;1142;1631;30;На складе;JavaScript для профессионалов;Резиг Джон;Нет издательства;1210;1728;30;На складе;C. Полное руководство. Классическое издание;Шилдт Герберт;Нет издательства;2419;3456;30;Ограничено;NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки;Де Йонге Дерек;Нет издательства;856;1223;30;На складе;Как стать хакером;Притяну Эдриан;Нет издательства;1285;1835;30;На складе;Шаблоны проектирования для облачной среды;Дэвис Корнелия;Нет издательства;1428;2040;30;На складе;SQL для чайников;Тейлор Аллен Дж.;"Диалектика : Для ""чайников""";1453;2075;30;На складе;Введение в архитектуру программного обеспечения. Учебное пособие;Гагарина Лариса Геннадьевна;Форум : Среднее профессиональное образование;1978;2826;30;На складе;Библия C#;Фленов Михаил Евгеньевич;Нет издательства;674;963;30;На складе;Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей;Форд Мартин;Питер : Библиотека программиста;988;1267;22;На складе;Глубокое обучение и игра в го;Памперла Макс;Нет издательства;1856;2651;30;На складе;Разработка игр на Unreal Engine 4 за 24 часа;Куксон Арам;Бомбора : Мировой компьютерный бестселлер;1643;2107;22;На складе;Изучаем C#;Грин Дженнифер;Питер : Head First (O'Reilly);1773;2273;22;На складе;Квантовые вычисления для настоящих айтишников;Бернхард Крис;Питер : Библиотека программиста;963;1235;22;На складе;Знакомство с PyTorch: глубокое обучение при обработке естественного языка;Макмахан Брайан;Питер : Бестселлеры O`Reilly;1083;1389;22;На складе
